NTAName,NTACode,DisplacementRiskIndex,PopulationVulnerability,HousingConditions,MarketPressure,NotWhite,Below2xPovertyRate,Below2xPovertyRate_MOE,LimitedEnglishProficiency,LimitedEnglishProficiency_MOE,SevereRentBurdenVsCity,SevereRentBurden,SevereRentBurden_MOE,RentalHousing,RentalHousing_MOE,NotIncomeRestricted,NotRentStabilizedVsCity,NotRentStabilized,NotRentStabilized_MOE,3PlusMaintenanceDeficienciesVsCity,3PlusMaintenanceDeficiencies,3PlusMaintenanceDeficiencies_MOE,ChangeInRentsVsCity,ChangeInRents,ChangeInRents_MOE,SalesPriceAppreciation,ChangeInPopulationWithBachelorsDegreesVsCity,ChangeInPopulationWithBachelorsDegrees,ChangeInPopulationWithBachelorsDegrees_MOE,Adjacency
Allerton-Pelham Gardens,BX31,Lower,Lower,Intermediate,Lowest,82,25.5,2.2,18,2,No statistical difference from the City in the proportion of severely rent burdened households,23.8,5.1,42.2,3.2,91.6,No statistical difference from the City in the proportion of rent-stabilized households,47,10.7,Larger proportion of units with 3+ maintenance deficiencies than the City,19.5,5.2,No statistical difference in rent change from City,229,189,2.68441827,Smaller percent change of population with a bachelor's degree than the City,-2,13.2,Not adjacent to neighborhoods with high Market Pressure scores
Annadale-Huguenot-Prince's Bay-Eltingville,SI01,Lowest,Lowest,Intermediate,Lowest,18.9,13.9,1.7,6,1,Smaller proportion of severely rent burdened households than City,19,7.9,16.5,2.5,100,Smaller proportion of households in rent-stabilized units than City,13.7,9.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,2,1.6,Smaller rent change than City,-142,297,2.250587947,No statistical difference from the City in the percent change of population with a bachelor's degree,20.3,14.1,Not adjacent to neighborhoods with high Market Pressure scores
Arden Heights,SI48,Lowest,Lowest,Intermediate,Lowest,26.5,15.2,2.3,6,1,Smaller proportion of severely rent burdened households than City,18.2,9.2,12.7,3.1,100,Smaller proportion of households in rent-stabilized units than City,13.7,9.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,2,1.6,Smaller rent change than City,-185,210,2.250587947,No statistical difference from the City in the percent change of population with a bachelor's degree,15.6,16.5,Not adjacent to neighborhoods with high Market Pressure scores
Astoria,QN70,Intermediate,Lower,Intermediate,Highest,51.4,29.2,1.3,21,1,Smaller proportion of severely rent burdened households than City,21.7,1.7,83.8,1.1,93,No statistical difference from the City in the proportion of rent-stabilized households,45.4,7.5,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.5,2.4,Larger rent change than City,309,56,3.733437849,Larger percent change of population with a bachelor's degree than the City,37.2,8.9,Not adjacent to neighborhoods with high Market Pressure scores
Auburndale,QN48,Intermediate,Intermediate,Intermediate,Lowest,69.9,27,2.7,41,3,No statistical difference from the City in the proportion of severely rent burdened households,30.7,6.7,32.4,3.1,100,Smaller proportion of households in rent-stabilized units than City,24.1,16.9,Smaller proportion of units with 3+ maintenance deficiencies than the City,1.7,1.9,No statistical difference in rent change from City,226,174,2.613075972,Smaller percent change of population with a bachelor's degree than the City,-5.8,11.4,Not adjacent to neighborhoods with high Market Pressure scores
Baisley Park,QN76,Lower,Lower,Intermediate,Lowest,98.5,28.7,1.6,6,1,No statistical difference from the City in the proportion of severely rent burdened households,30.1,4.7,33.3,2.4,95,Smaller proportion of households in rent-stabilized units than City,28.5,9.3,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.2,3.5,No statistical difference in rent change from City,193,203,2.726457289,No statistical difference from the City in the percent change of population with a bachelor's degree,26.4,19.3,Not adjacent to neighborhoods with high Market Pressure scores
Bath Beach,BK27,Higher,Intermediate,Intermediate,Highest,60,35.2,2.3,42,3,No statistical difference from the City in the proportion of severely rent burdened households,31.7,4,60.3,2.5,100,No statistical difference from the City in the proportion of rent-stabilized households,44.8,9.1,Smaller proportion of units with 3+ maintenance deficiencies than the City,5,2,Larger rent change than City,290,89,3.463377387,Larger percent change of population with a bachelor's degree than the City,81.3,22.8,Not adjacent to neighborhoods with high Market Pressure scores
Battery Park City-Lower Manhattan,MN25,Lowest,Lowest,Higher,Highest,38.6,10.9,1.3,6,1,Smaller proportion of severely rent burdened households than City,13.7,2.3,73.7,1.8,99.6,Smaller proportion of households in rent-stabilized units than City,33,6,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.9,3,Larger rent change than City,929,130,2.222504266,Larger percent change of population with a bachelor's degree than the City,54.7,11.5,Not adjacent to neighborhoods with high Market Pressure scores
Bay Ridge,BK31,Lower,Lower,Intermediate,Lowest,40.9,26.4,1.3,19,1,Smaller proportion of severely rent burdened households than City,25.5,2,60.8,1.3,100,Larger proportion of households in rent-stabilized units than City,54.8,8.9,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.4,2.2,No statistical difference in rent change from City,226,56,3.044912315,Smaller percent change of population with a bachelor's degree than the City,13.6,6.4,Not adjacent to neighborhoods with high Market Pressure scores
Bayside-Bayside Hills,QN46,Lower,Lower,Intermediate,Lowest,65.3,19.5,1.3,29,2,No statistical difference from the City in the proportion of severely rent burdened households,26.3,3.6,35.3,2,100,Smaller proportion of households in rent-stabilized units than City,24.1,16.9,Smaller proportion of units with 3+ maintenance deficiencies than the City,1.7,1.9,No statistical difference in rent change from City,197,154,2.613075972,Smaller percent change of population with a bachelor's degree than the City,6.6,8.1,Not adjacent to neighborhoods with high Market Pressure scores
